date,product,product_original,unit_of_measurement,unit_of_measurement_original,min_crc,max_crc,mode_crc,avg_crc,min_dollars,max_dollars,mode_dollars,avg_dollars
2019-08-13,Hall Avocado,Aguacate criollo,Unit,Unidad,200.0,400.0,300.0,300.0,0.3333333333333333,0.6666666666666666,0.5,0.5
2019-08-13,Garlic (from China),Ajo de China,Box (10 kg),Caja (10 kg),14000.0,16000.0,15000.0,15000.0,23.333333333333332,26.666666666666668,25.0,25.0
2019-08-13,Green celery,Apio verde (mata),Plant,Mata,1500.0,1700.0,1700.0,1657.14,2.5,2.8333333333333335,2.8333333333333335,2.7619000000000002
2019-08-13,Kabocha Squash / Pumpkin,Ayote sazón,Kilo,Kilo,350.0,400.0,350.0,358.33,0.5833333333333334,0.6666666666666666,0.5833333333333334,0.5972166666666666
2019-08-13,Banana (Export),Banano de exportación,Box,Caja,5500.0,6300.0,5500.0,5766.67,9.166666666666666,10.5,9.166666666666666,9.611116666666668
2019-08-13,Creole Ripe Banana,Banano maduro criollo,Unit,Unidad,25.0,30.0,25.0,25.83,0.041666666666666664,0.05,0.041666666666666664,0.04305
2019-08-13,Ripe Banana (Export Rejection),Banano maduro rechazo de exportación,Box,Caja,2200.0,2300.0,2300.0,2275.0,3.6666666666666665,3.8333333333333335,3.8333333333333335,3.7916666666666665
2019-08-13,Green Banana (Export Rejection),Banano verde rechazo de exportación,Box,Caja,2200.0,2300.0,2300.0,2275.0,3.6666666666666665,3.8333333333333335,3.8333333333333335,3.7916666666666665
2019-08-13,Broccoli,Brócoli,Kilo,Kilo,800.0,1000.0,800.0,866.67,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.44445
2019-08-13,Sweet Potato,Camote,Kilo,Kilo,600.0,700.0,700.0,688.89,1.0,1.1666666666666667,1.1666666666666667,1.14815
2019-08-13,Yellow Dried Onion (Big Package),Cebolla seca amarilla burra,Kilo,Kilo,1200.0,1300.0,1300.0,1261.11,2.0,2.1666666666666665,2.1666666666666665,2.1018499999999998
2019-08-13,Yellow Dried Onion (Single),Cebolla seca amarilla suelta,Kilo,Kilo,1100.0,1300.0,1200.0,1200.0,1.8333333333333333,2.1666666666666665,2.0,2.0
2019-08-13,Yellow Braid Dried Onion,Cebolla seca amarilla trenza,Kilo,Kilo,1100.0,1300.0,1200.0,1200.0,1.8333333333333333,2.1666666666666665,2.0,2.0
2019-08-13,Purple Dried Onion,Cebolla seca morada ,Kilo,Kilo,1200.0,1400.0,1300.0,1323.08,2.0,2.3333333333333335,2.1666666666666665,2.2051333333333334
2019-08-13,Creole Tender Chayote,Chayote tierno criollo,Java,Java,20000.0,21000.0,20000.0,20333.33,33.333333333333336,35.0,33.333333333333336,33.88888333333334
2019-08-13,Quelite Tender Chayote,Chayote tierno quelite,Java,Java,11000.0,13000.0,12000.0,12142.86,18.333333333333332,21.666666666666668,20.0,20.2381
2019-08-13,Cauliflower,Coliflor,Unit,Unidad,700.0,1000.0,800.0,828.57,1.1666666666666667,1.6666666666666667,1.3333333333333333,1.3809500000000001
2019-08-13,Coriander,Culantro castilla,Roll of 10 rolls,Rollo de 10 rollitos,500.0,600.0,600.0,571.43,0.8333333333333334,1.0,1.0,0.9523833333333332
2019-08-13,Elote Corn,Elote,Unit,Unidad,120.0,150.0,120.0,132.86,0.2,0.25,0.2,0.22143333333333334
